HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
6,17,2.6,3,2.9,D
15,3,1.7,3.5,5.25,H
18,5,1.4,4.2,9,H
8,7,1.85,3.3,4.5,H
14,4,6.5,4,1.5,A
12,1,2.25,3.1,3.4,H
10,6,2.2,3,3.6,A
16,13,2,3,4.2,H
17,21,6.5,4.5,1.44,A
9,2,1.57,4,5.5,H
3,10,2.7,3,2.7,A
13,17,2.4,3.2,3,A
21,12,1.3,5,9.5,H
5,8,2.5,3,3.1,H
7,18,8,4.5,1.4,A
6,16,3,3.2,2.4,D
2,14,1.95,3.25,4.1,A
4,15,1.44,4.5,6.5,H
1,9,5,3.75,1.66,D
14,3,2,3.2,4,H
15,6,1.85,3.4,4.33,H
5,7,1.75,3.4,5,D
8,4,7.5,4.2,1.44,A
18,2,1.5,3.8,7,H
16,17,2,3.1,4,D
12,13,2.1,3.2,3.5,A
10,1,2.7,3,2.75,A
9,21,3,3.5,2.25,A
3,8,2.9,3.2,2.5,A
16,14,2.05,3.2,3.8,A
4,5,1.25,5.5,12,H
17,12,2.7,3,2.8,A
2,7,1.61,3.75,5.5,A
1,15,2.7,3.2,2.62,H
13,9,5,3.75,1.66,A
21,10,1.16,7,15,H
6,18,7,4,1.45,D
8,2,2.55,3.1,2.9,H
10,13,2.5,3.1,2.9,H
12,16,2.55,3,2.9,D
7,4,9.5,4,1.4,A
15,21,7.5,4,1.45,A
14,6,2.15,3.2,3.5,A
5,3,1.8,3.5,4.5,H
9,17,1.44,4.33,7,D
18,1,1.44,4.33,7,D
12,15,2.45,3.1,3,H
13,18,5.5,3.8,1.6,A
2,5,2.15,3.2,3.6,H
6,7,2.2,3.2,3.3,A
17,10,2.2,3.2,3.25,H
21,14,1.22,5.75,13,A
16,9,4.75,3.5,1.75,D
1,8,2.15,3.1,3.6,A
3,4,11,5.25,1.28,A
15,13,2.45,3.2,2.9,A
5,6,1.9,3.4,4.2,D
10,16,2.8,3.1,2.55,H
9,12,1.44,4.2,7.5,H
18,17,1.44,4,8.5,D
7,3,1.95,3.3,4,H
14,1,2.4,3.1,3.1,A
8,21,7.5,4,1.45,A
4,2,1.33,5,9,H
12,10,2.2,3.3,3.25,A
16,15,2.1,3.25,3.6,D
9,18,2.6,3,2.9,A
17,14,2.4,2.9,3.25,H
21,5,1.33,5,9,H
1,7,1.9,3.2,4,D
3,2,3.5,3.3,2.1,H
6,4,8.5,4.75,1.36,D
13,8,2.1,3.1,3.8,D
10,9,5.5,4,1.5,H
15,17,2.2,3.2,3.1,H
2,6,1.9,3.5,3.8,H
7,21,9,5.25,1.25,A
4,1,1.36,4.5,7,H
14,13,2.45,3.1,2.75,D
8,16,2.37,3.1,2.9,D
5,12,2.1,3.1,3.4,D
18,3,1.25,5,10,H
10,14,2.5,3.1,3,A
9,15,1.45,3.8,8,D
16,18,5,3.6,1.7,A
6,3,2.25,3.2,3.2,D
17,8,3.25,2.7,2.5,H
21,4,2.35,3.4,2.9,D
13,2,2.05,3.3,3.6,D
1,5,2.15,3.3,3.4,H
12,7,1.8,3.6,4.33,D
15,10,2.05,3.3,3.6,D
14,9,5,3.6,1.7,D
