Time,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
18,21,12,1.3,5,9.5,H
18,5,8,2.5,3,3.1,H
20,7,18,8,4.5,1.4,A
15,6,16,3,3.2,2.4,D
17,2,14,1.95,3.25,4.1,A
20,4,15,1.44,4.5,6.5,H
20,1,9,5,3.75,1.66,D
20,14,3,2,3.2,4,H
15,15,6,1.85,3.4,4.33,H
15,5,7,1.75,3.4,5,D
18,8,4,7.5,4.2,1.44,A
20,18,2,1.5,3.8,7,H
15,16,17,2,3.1,4,D
17,12,13,2.1,3.2,3.5,A
17,10,1,2.7,3,2.75,A
20,9,21,3,3.5,2.25,A
20,3,8,2.9,3.2,2.5,A
18,16,14,2.05,3.2,3.8,A
20,4,5,1.25,5.5,12,H
15,17,12,2.7,3,2.8,A
17,2,7,1.61,3.75,5.5,A
20,1,15,2.7,3.2,2.62,H
18,13,9,5,3.75,1.66,A
19,21,10,1.16,7,15,H
21,6,18,7,4,1.45,D
20,8,2,2.55,3.1,2.9,H
15,10,13,2.5,3.1,2.9,H
15,12,16,2.55,3,2.9,D
18,7,4,9.5,4,1.4,A
20,15,21,7.5,4,1.45,A
15,14,6,2.15,3.2,3.5,A
15,5,3,1.8,3.5,4.5,H
17,9,17,1.44,4.33,7,D
20,18,1,1.44,4.33,7,D
18,12,15,2.45,3.1,3,H
21,13,18,5.5,3.8,1.6,A
15,2,5,2.15,3.2,3.6,H
15,6,7,2.2,3.2,3.3,A
18,17,10,2.2,3.2,3.25,H
18,21,14,1.22,5.75,13,A
20,16,9,4.75,3.5,1.75,D
15,1,8,2.15,3.1,3.6,A
17,3,4,11,5.25,1.28,A
20,15,13,2.45,3.2,2.9,A
15,5,6,1.9,3.4,4.2,D
17,10,16,2.8,3.1,2.55,H
19,9,12,1.44,4.2,7.5,H
21,18,17,1.44,4,8.5,D
15,7,3,1.95,3.3,4,H
17,14,1,2.4,3.1,3.1,A
19,8,21,7.5,4,1.45,A
21,4,2,1.33,5,9,H
15,12,10,2.2,3.3,3.25,A
17,16,15,2.1,3.25,3.6,D
20,9,18,2.6,3,2.9,A
17,17,14,2.4,2.9,3.25,H
19,21,5,1.33,5,9,H
19,1,7,1.9,3.2,4,D
19,3,2,3.5,3.3,2.1,H
21,6,4,8.5,4.75,1.36,D
21,13,8,2.1,3.1,3.8,D
20,10,9,5.5,4,1.5,H
15,15,17,2.2,3.2,3.1,H
17,2,6,1.9,3.5,3.8,H
19,7,21,9,5.25,1.25,A
21,4,1,1.36,4.5,7,H
15,14,13,2.45,3.1,2.75,D
18,8,16,2.37,3.1,2.9,D
18,5,12,2.1,3.1,3.4,D
20,18,3,1.25,5,10,H
19,10,14,2.5,3.1,3,A
19,9,15,1.45,3.8,8,D
21,16,18,5,3.6,1.7,A
15,6,3,2.25,3.2,3.2,D
17,17,8,3.25,2.7,2.5,H
18,21,4,2.35,3.4,2.9,D
20,13,2,2.05,3.3,3.6,D
19,1,5,2.15,3.3,3.4,H
21,12,7,1.8,3.6,4.33,D
15,15,10,2.05,3.3,3.6,D
20,14,9,5,3.6,1.7,D
18,8,6,1.83,3.6,4.33,A
20,4,13,1.3,4.75,12,H
16,5,16,2.37,3,3.25,H
16,7,17,2.45,3,3.1,A
18,3,21,10,5.75,1.28,A
20,18,12,1.28,5,12,H
20,2,1,2.4,3.1,3.1,A
19,15,14,2.6,3,2.75,A
21,9,6,1.36,5.25,7,H
15,12,8,2.37,3.3,2.7,H
15,13,7,1.6,3.75,5,H
18,21,18,1.9,3.5,3.9,H
20,16,4,6.5,4.2,1.44,A
15,1,3,1.9,3.5,4,H
17,17,5,3,3.1,2.4,A
20,10,2,2.8,3.1,2.6,D
20,7,15,2.9,3.3,2.37,A
18,4,17,1.22,6,11,H
20,14,12,3.5,3.6,2,A
20,2,21,3.5,3.75,1.95,A
20,6,1,3.3,3.5,2.1,H
20,3,16,5.5,3.6,1.65,A
20,8,9,3.2,3.1,2.3,D
20,5,13,2.15,3.4,3.25,H
21,18,10,1.28,5.5,9.5,H
20,8,17,1.9,3.2,4.33,D
16,5,1,2,3.3,3.75,A
19,14,4,11,5,1.28,H
21,21,15,1.16,7.5,13,H
16,12,20,2.2,3.2,3.5,H
18,10,18,5.5,3.75,1.61,D
21,9,6,1.4,4.2,9,H
20,19,7,2.2,3.2,3.4,D
20,1,16,3,3.2,2.4,H
16,6,14,2.15,3.4,3.25,H
19,17,21,15,7,1.16,A
21,4,19,1.16,7.5,13,H
16,20,10,2.3,3.2,3.2,H
16,15,5,2.37,3.3,2.9,A
18,2,12,1.6,3.6,6,D
21,18,9,1.95,3.3,4,H
20,7,8,2.7,3.4,2.5,A
19,19,6,2.5,3,3,D
21,16,20,1.75,3.4,5.25,H
19,21,4,1.9,3.25,4.33,A
21,12,15,2.1,3.1,3.8,D
16,10,7,1.95,3.1,4.33,A
16,5,17,2.05,3.2,3.75,D
18,8,18,4.5,3.5,1.8,A
20,14,9,4.75,3.5,1.75,D
21,2,1,1.72,3.5,5,D
19,6,8,2.2,3.25,3.25,H
21,17,12,2.5,3,3,A
16,20,1,2.45,3.1,3,A
16,15,10,2.05,3.2,3.75,A
19,18,16,1.36,4.75,8.5,A
21,14,19,2.15,3,3.7,D
16,7,5,2.3,3,3.4,D
18,4,2,1.16,7,15,H
21,9,21,6,3.75,1.6,A
15,16,2,1.85,3.5,4.2,D
20,19,9,5,3.5,1.75,H
16,1,15,2.05,3.3,3.6,H
19,21,14,1.12,8,21,H
21,2,20,1.53,4,6,H
16,10,17,2,3.3,3.75,A
16,16,7,1.65,4,5,A
16,5,6,2.2,3.25,3.3,H
18,8,4,7,4.5,1.4,A
20,12,18,5,3.6,1.7,D
20,15,20,1.85,3.4,4.33,H
18,17,16,3.5,3.1,2.2,A
20,6,21,9,5,1.33,A
15,14,12,2.25,3.1,3.4,D
18,19,8,2.87,3.1,2.55,D
18,7,2,3.4,3.4,2.1,A
20,4,5,1.14,7.5,17,H
19,9,10,1.33,4.75,10,D
21,18,1,1.5,4.5,5.75,A
20,12,7,2.05,3.25,3.75,D
16,10,6,2.4,3.2,3,H
19,21,19,1.12,8,21,H
21,1,17,1.8,3.5,4.5,H
16,2,15,1.53,4.2,6,H
16,5,14,2.1,3.25,3.6,H
18,8,9,3.4,3.3,2.15,A
20,16,4,6.5,4,1.5,A
20,20,18,6,3.75,1.55,A
15,20,7,2.4,3.25,2.9,A
20,15,16,2.8,3.1,2.6,D
15,17,20,2.1,3.2,3.6,H
15,14,8,2.5,3,3,D
18,19,10,2.3,3,3.4,D
20,6,12,2.15,3.1,3.6,D
15,7,21,10,5.25,1.28,A
17,4,1,1.22,6,12,H
20,18,2,1.72,3.75,4.75,H
